知道 zhidao
康衢 kangqu
费手脚 feishoujiao
曝光表 puguangbiao
秦王 qinwang
香茅 xiangmao
眼红 yanhong
脱色剂 tuoseji
一鼻子灰 yibizihui
勘察 kancha
曝光表 baoguangbiao
世代交替 shidaijiaoti
玉田 yutian
正经 zhengjing
福贡 fugong
乐安 lean
冻肉 dongrou
分散 fensan
相反 xiangfan
东支西吾 dongzhixiwu
昧心 meixin
红磷 honglin
拉拉扯扯 lalacheche
铮铮铁骨 zhengzhengtiegu
忧虑 youlv
山口 shankou
爱惜羽毛 aixiyumao
耦合 ouhe
清静 qingjing
宝马 baoma
高迈 gaomai
金杯 jinbei
识记 shiji
人化 renhua
循环 xunhuan
目不斜视 mubuxieshi
连体 lianti
新世界 xinshijie
卑鄙无耻 beibiwuchi
惊惶 jinghuang
荣军 rongjun
三重唱 sanzhongchang
前途无量 qiantuwuliang
近视 jinshi
天亮 tianliang
主考 zhukao
上皮 shangpi
统一体 tongyiti
合理 heli
面谕 mianyu
有理 youli
所罗门 suoluomen
报价 baojia
宝元 baoyuan
打夯 dahang
一贫如洗 yipinruxi
申时 shenshi
周年 zhounian
唐老鸭 tanglaoya
二弦 erxian
出位 chuwei
学习 xuexi
查勤 chaqin
铁牛 tieniu
房地产 fangdichan
华容 huarong
浑身解数 hunshenjieshu
不一 buyi
陆运 luyun
五灵脂 wulingzhi
重设 zhongshe
硬质合金 yingzhihejin
人才外流 rencaiwailiu
下脚 xiajiao
行行 xingxing
分界 fenjie
拓扑学 tuopuxue
瓯江 oujiang
艳羡 yanxian
切片 qiepian
驱动 qudong
行行 hangxing
能动 nengdong
庸人自扰之 yongrenziraozhi
恒牙 hengya
抱愧 baokui
开发部 kaifabu
鼎足三分 dingzusanfen
手动 shoudong
日共 rigong
己二酸 jiersuan
黄鹤楼 huanghelou
丝兰 silan
疯狂 fengkuang
和乐 hele
司局级 sijuji
武清 wuqing
山东快书 shandongkuaishu
汾酒 fenjiu
增殖 zengzhi
繁殖率 fanzhilv
新世纪 xinshiji
不言不语 buyanbuyu
和乐 huole
福橘 fuju
浸种 jinzhong
怒从心头起 nucongxintouqi
长崎 changqi
心经 xinjing
万籁俱寂 wanlaijuji
长效 changxiao
盘盘 panpan
工商业 gongshangye
抽气机 chouqiji
难忘 nanwang
义和团 yihetuan
不行 buxing
下线 xiaxian
俭约 jianyue
老一辈 laoyibei
见机而行 jianjierxing
俊伟 junwei
靠山吃山 kaoshanchishan
知根知底 zhigenzhidi
一琴一鹤 yiqinyihe
反馈 fankui
玩忽职守 wanhuzhishou
难以忍受 nanyirenshou
三级跳远 sanjitiaoyuan
杜绝 dujue
月琴 yueqin
五华 wuhua
敬重 jingzhong
优容 yourong
气势磅礴 qishibangbo
凌空 lingkong
麦蛾 maie
豪华 haohua
树大根深 shudagenshen
飞碟 feidie
阿伦 alun
酪酸 laosuan
苹果汁 pingguozhi
糖衣炮弹 tangyipaodan
货物运输 huowuyunshu
尿酸 niaosuan
明秀 mingxiu
阿伦 elun
下场 xiachang
无机肥料 wujifeiliao
景教 jingjiao
结伴 jieban
经济地理学 jingjidilixue
劳改 laogai
投篮 toulan
流动 liudong
外交部 waijiaobu
触类而通 chuleiertong
不利 buli
百密一疏 baimiyishu
公诸于众 gongzhuyuzhong
二重唱 erzhongchang
兰亭 lanting
风湿热 fengshire
两旁 liangpang
停当 tingdang
师承 shicheng
不容忽视 buronghushi
脱产 tuochan
礼赞 lizan
力图 litu
工人党 gongrendang
一中全会 yizhongquanhui
支护 zhihu
计生 jisheng
才艺 caiyi
刻录 kelu
存续 cunxu
一贯性 yiguanxing
昂首 angshou
条状 tiaozhuang
黑底 heidi
这般 zheban
嫉贤妒能 jixianduneng
河运 heyun
取舍 qushe
复音 fuyin
侨委会 qiaoweihui
家用电器 jiayongdianqi
法律服务 falvfuwu
游击 youji
鸳鸯蝴蝶派 yuanyanghudiepai
就业 jiuye
平顶 pingding
不三不四 busanbusi
基座 jizuo
卫生队 weishengdui
花红叶绿 huahongyelv
传达 chuanda
一颦一笑 yipinyixiao
世界屋脊 shijiewuji
电子部 dianzibu
正音 zhengyin
天书 tianshu
二氧化硫 eryanghualiu
个人电脑 gerendiannao
国务院 guowuyuan
六根清静 liugenqingjing
联合 lianhe
六畜兴旺 liuxuxingwang
不是味儿 bushiweier
乳臭未干 ruchouweigan
夏锄 xiachu
真心真意 zhenxinzhenyi
乘法器 chengfaqi
四散 sisan
简评 jianping
阿拉尔 alaer
六月飞霜 liuyuefeishuang
欢愉 huanyu
海相 haixiang
险峻 xianjun
谷道 gudao
想来 xianglai
曲水 qushui
难以为继 nanyiweiji
阿拉尔 elaer
榛榛 zhenzhen
磁碟 cidie
管事 guanshi
限额 xiane
可行性研究 kexingxingyanjiu
爬行动物 paxingdongwu
耍花腔 shuahuaqiang
发行 faxing
以不变应万变 yibubianyingwanbian
进贤 jinxian
交接 jiaojie
痛惜 tongxi
相对 xiangdui
满洲国 manzhouguo
露一手 luyishou
死战 sizhan
上位 shangwei
新绛 xinjiang
常住 changzhu
三贞九烈 sanzhenjiulie
向上一路 xiangshangyilu
四通公司 sitonggongsi
露一手 louyishou
糗事 qiushi
助产 zhuchan
套印 taoyin
用人 yongren
镏金 liujin
犹豫 youyu
英联邦 yinglianbang
一垒手 yileishou
报备 baobei
六一国际儿童节 liuyiguojiertongjie
戊戌变法 wuxubianfa
墨旱莲 mohanlian
继任 jiren
明理 mingli
万丈深渊 wanzhangshenyuan
剪彩 jiancai
该死 gaisi
速滑 suhua
高空 gaokong
叩头虫 koutouchong
谷雨 guyu
配套 peitao
多情 duoqing
变质 bianzhi
学者型 xuezhexing
三等奖 sandengjiang
彳亍 chichu
假大空 jiadakong
失业 shiye
激奋 jifen
结核菌素 jiehejunsu
茶碱 chajian
王顾左右而言他 wangguzuoyoueryanta
绝对湿度 jueduishidu
封顶 fengding
刻痕 kehen
琦善 qishan
证交所 zhengjiaosuo
空转 kongzhuan
悸动 jidong
晶莹剔透 jingyingtitou
上广电 shangguangdian
保暖 baonuan
被覆 beifu
各色各样 gesegeyang
本班 benban
半新不旧 banxinbujiu
男女平等 nannvpingdeng
任一 renyi
换乘 huancheng
狠毒 hendu
偷奸取巧 toujianquqiao
点面结合 dianmianjiehe
焦黑 jiaohei
配重 peizhong
工作报告 gongzuobaogao
欢畅 huanchang
胡里胡涂 hulihutu
深情厚意 shenqinghouyi
斗争 douzheng
苦味酸 kuweisuan
公羊传 gongyangchuan
四轮车 silunche
瘦长 shouchang
过得去 guodequ
魂牵梦萦 hunqianmengying
地图学 dituxue
贫道 pindao
第三国际 disanguoji
手术钳 shoushuqian
四体 siti
肚子 duzi
云尔 yuner
寸步难移 cunbunanyi
罢工 bagong
天柱 tianzhu
江汉朝宗 jianghanchaozong
窗口 chuangkou
加固 jiagu
转染 zhuanran
圆满 yuanman
马首 mashou
工业建筑 gongyejianzhu
正统 zhengtong
凝重 ningzhong
新化 xinhua
裸体 luoti
高高挂起 gaogaoguaqi
改换门庭 gaihuanmenting
集邮 jiyou
天秤座 tianchengzuo
列表 liebiao
配子 peizi
文秀 wenxiu
忽悠 huyou
四六文 siliuwen
洗染 xiran
苍山 cangshan
三垒手 sanleishou
采采 caicai
亲切 qinqie
稀缺 xique
单轨铁路 danguitielu
朝觐 chaojin
家丑不可外扬 jiachoubukewaiyang
单轨铁路 changuitielu
蹒跚 panshan
眼部 yanbu
可想而知 kexiangerzhi
葱绿 conglv
归属 guishu
进退 jintui
集资 jizi
靡靡之音 mimizhiyin
戏剧团 xijutuan
一阵风 yizhenfeng
马年 manian
电子电路 dianzidianlu
烤鸡 kaoji
耿直 gengzhi
指挥部 zhihuibu
杀出重围 shachuzhongwei
九牛一毛 jiuniuyimao
五言诗 wuyanshi
万全 wanquan
一级 yiji
不结盟 bujiemeng
八项注意 baxiangzhuyi
水口 shuikou
五角 wujiao
实则 shize
残年 cannian
困难 kunnan
一千零一夜 yiqianlingyiye
十点钟 shidianzhong
乌拉 wula
三心两意 sanxinliangyi
松驰 songchi
奉天 fengtian
美味可口 meiweikekou
北边 beibian
出以公心 chuyigongxin
强击 qiangji
部颁 buban
六合 liuhe
一瞥 yipie
变焦 bianjiao
强击 jiangji
志书 zhishu
坦言 tanyan
不正之风 buzhengzhifeng
珍宝岛 zhenbaodao
精神焕发 jingshenhuanfa
一了百了 yiliaobailiao
联结 lianjie
心痛 xintong
香艳 xiangyan
越雷池一步 yueleichiyibu
活跃 huoyue
复印 fuyin
未经 weijing
口吐白沫 koutubaimo
煤炭部 meitanbu
成熟 chengshu
无畏 wuwei
不好意思 buhaoyisi
不怕 bupa
漕运 caoyun
八音盒 bayinhe
航行 hangxing
年幼 nianyou
贮藏 zhucang
记账 jizhang
日暖风和 rinuanfenghe
读图 dutu
鱼贯而入 yuguanerru
阳原 yangyuan
拒人于千里之外 jurenyuqianlizhiwai
成片 chengpian
元书纸 yuanshuzhi
迪化 dihua
灯塔 dengta
十八罗汉 shibaluohan
吃鸭蛋 chiyadan
司法机关 sifajiguan
反复 fanfu
航渡 hangdu
一差二错 yichaercuo
静电学 jingdianxue
单体 danti
孑然 jieran
通事 tongshi
迷你游戏 miniyouxi
苍劲 cangjin
行事 xingshi
反骄破满 fanjiaopoman
大半天 dabantian
单体 chanti
杂草丛生 zacaocongsheng
受业 shouye
环境规划 huanjingguihua
大半天 daibantian
行事 hangshi
低声 disheng
一掷千金 yizhiqianjin
定影 dingying
五陵年少 wulingnianshao
毫不动摇 haobudongyao
日化 rihua
雅皮士 yapishi
照镜子 zhaojingzi
三字经 sanzijing
挤压 jiya
曲里拐弯 quliguaiwan
欣幸 xinxing
云安 yunan
妩媚 wumei
邪门歪道 xiemenwaidao
床身 chuangshen
才子佳人 caizijiaren
青云 qingyun
曲阳 quyang
纵轴 zongzhou
整流 zhengliu
抗生 kangsheng
腥臭 xingchou
感人至深 ganrenzhishen
越军 yuejun
连锁 liansuo
刻蚀 keshi
一场空 yichangkong
彩印 caiyin
上游 shangyou
昏昏噩噩 hunhunee
暖气机 nuanqiji
训迪 xundi
全军 quanjun
仙风道骨 xianfengdaogu
救护 jiuhu
高密 gaomi
自责 zize
刺痛 citong
河浜 hebang
不怀好意 buhuaihaoyi
抹一鼻子灰 moyibizihui
糊状 huzhuang
巴山夜雨 bashanyeyu
居住 juzhu
克难 kenan
普遍 pubian
一寒如此 yihanruci
春雨 chunyu
深田恭子 shentiangongzi
复查 fucha
治标不治本 zhibiaobuzhiben
远亲不如近邻 yuanqinburujinlin
同一律 tongyilv
认知 renzhi
西经 xijing
美玲 meiling
刑事 xingshi
妙法 miaofa
不容 burong
背后 beihou
有机玻璃 youjiboli
厨房用具 chufangyongju
贺岁 hesui
信丰 xinfeng
延川 yanchuan
年老体弱 nianlaotiruo
白莲教 bailianjiao
尉氏 weishi
复转 fuzhuan
芳华 fanghua
尉氏 yushi
千分之一 qianfenzhiyi
和解 hejie
一长两短 yichangliangduan
重击 zhongji
消炎 xiaoyan
和解 huojie
列位 liewei
授权书 shouquanshu
邓小平理论 dengxiaopinglilun
第四纪 disiji
柳编 liubian
幕后 muhou
清锅冷灶 qingguolengzao
天姿国色 tianziguose
首善 shoushan
令人注目 lingrenzhumu
馒首 manshou
有生 yousheng
沿海 yanhai
护理 huli
精瘦 jingshou
中休 zhongxiu
国家局 guojiaju
贝多芬 beiduofen
安澜 anlan
人亡物在 renwangwuzai
讨饭 taofan
素缎 suduan
必经 bijing
万无一失 wanwuyishi
风压 fengya
非一日之寒 feiyirizhihan
晓事 xiaoshi
社会调查 shehuidiaocha
顾盼生辉 gupanshenghui
公共政策 gonggongzhengce
鸭步鹅行 yabuexing
一来二去 yilaierqu
碎末 suimo
冶金部 yejinbu
骨关节炎 guguanjieyan
日均 rijun
康复中心 kangfuzhongxin
短篇小说 duanpianxiaoshuo
八抬大轿 bataidajiao
多党 duodang
等价 dengjia
润滑 runhua
如东 rudong
而立之年 erlizhinian
连年 liannian
小泉 xiaoquan
再而三 zaiersan
冒顶 maoding
相忍为国 xiangrenweiguo
开支 kaizhi
间隔 jiange
陈设 chenshe
水儿 shuier
太行 taixing
领衔 lingxian
线速度 xiansudu
十围五攻 shiweiwugong
启动器 qidongqi
沉积物 chenjiwu
人造美女 renzaomeinv
治沙 zhisha
漳浦 zhangpu
迢远 tiaoyuan
纱笼 shalong
铝箔 lvbo
自治区 zizhiqu
征订 zhengding
精密 jingmi
清醇 qingchun
瞬时 shunshi
清馨 qingxin
世锦赛 shijinsai
定西 dingxi
机杼一家 jizhuyijia
久旱逢甘雨 jiuhanfengganyu
表里一致 biaoliyizhi
建设 jianshe
鹤鸣九皋 hemingjiugao
发夹 fajia
二话 erhua
酒食征逐 jiushizhengzhu
三教九流 sanjiaojiuliu
变形虫 bianxingchong
双生 shuangsheng
座座 zuozuo
人手一册 renshouyice
民间故事 minjiangushi
神庭 shenting
一年半载 yinianbanzai
遮挡 zhedang
拉手 lashou
造物 zaowu
武行 wuxing
闲散 xiansan
机械性能 jixiexingneng
罗马数字 luomashuzi
侧目而视 cemuershi
磁片 cipian
放射源 fangsheyuan
耗油率 haoyoulv
进攻 jingong
破除迷信 pochumixin
锦江 jinjiang
带病 daibing
黄铁矿 huangtiekuang
规章制度 guizhangzhidu
玉镯 yuzhuo
心口不一 xinkoubuyi
贵体 guiti
探索者 tansuozhe
惭愧 cankui
配合 peihe
平步登天 pingbudengtian
难以忘怀 nanyiwanghuai
出行 chuxing
迢遥 tiaoyao
微分电路 weifendianlu
打打气 dadaqi
一误再误 yiwuzaiwu
天琴座 tianqinzuo
九天 jiutian
肉痛 routong
切换 qiehuan
急行军 jixingjun
招生 zhaosheng
不公 bugong
蜡染 laran
野战 yezhan
奄奄一息 yanyanyixi
稍加 shaojia
透明 touming
抗静电 kangjingdian
无巧不成书 wuqiaobuchengshu
毁于一旦 huiyuyidan
佛典 fodian
涨潮 zhangchao
哀痛 aitong
美观 meiguan
一般的说 yibandeshuo
海口 haikou
珍奇 zhenqi
一口吸尽西江水 yikouxijinxijiangshui
璞玉 puyu
霍山 huoshan
东丰 dongfeng
功夫不负有心人 gongfubufuyouxinren
闯王 chuangwang
往后 wanghou
嵌合 qianhe
发电 fadian
苦痛 kutong
肾上腺素 shenshangxiansu
七巧板 qiqiaoban
应酬 yingchou
莺谷 yinggu
入帐 ruzhang
发市 fashi
铲刀 chandao
兴业 xingye
庆贺 qinghe
忠孝节义 zhongxiaojieyi
鸿雁传书 hongyanchuanshu
饱和度 baohedu
自愧不如 zikuiburu
船到江心补漏迟 chuandaojiangxinbulouchi
忍痛 rentong
一旁 yipang
锯口 jukou
期望 qiwang
海运 haiyun
痴呆 chidai
不解 bujie
退避三舍 tuibisanshe
硬生生 yingshengsheng
塔林 talin
别别扭扭 biebieniuniu
滴定管 didingguan
审慎 shenshen
违法必究 weifabijiu
半封建 banfengjian
大丰 dafeng
跑跑颠颠 paopaodiandian
明道 mingdao
本真 benzhen
蓝领 lanling
金塔 jinta
于飞 yufei
保险 baoxian
防雨 fangyu
大丰 daifeng
华彩 huacai
追根问底 zhuigenwendi
夸父逐日 kuafuzhuri
计时工资 jishigongzi
苍凉 cangliang
销售一空 xiaoshouyikong
艰难 jiannan
出人命 churenming
跳远 tiaoyuan
人心不足蛇吞象 renxinbuzushetunxiang
阒无一人 quwuyiren
台属 taishu
画押 huaya
电疗 dianliao
太谷 taigu
牡马 muma
离子交换 lizijiaohuan
巧合 qiaohe
电影放映机 dianyingfangyingji
串通一气 chuantongyiqi
遐想 xiaxiang
静观其变 jingguanqibian
简而言之 jianeryanzhi
启迪 qidi
开弓不放箭 kaigongbufangjian
燕王 yanwang
适量 shiliang
中招 zhongzhao
安全理事会 anquanlishihui
文事 wenshi
异常 yichang
兴隆 xinglong
走红运 zouhongyun
对半 duiban
无罪 wuzui
花柳病 hualiubing
以西 yixi
猴子称大王 houzichengdawang
三中全会 sanzhongquanhui
黄金时代 huangjinshidai
五子登科 wuzidengke
爱之欲其生 aizhiyuqisheng
丁炔 dingque
乃尔 naier
换句话说 huanjuhuashuo
农经 nongjing
令人齿冷 lingrenchileng
杜康 dukang
行政 xingzheng
及至 jizhi
三脚 sanjiao
行政 hangzheng
可锻铸铁 keduanzhutie
令人捧腹 lingrenpengfu
优良品种 youliangpinzhong
舒畅 shuchang
网校 wangxiao
斧凿 fuzao
来回 laihui
三分球 sanfenqiu
无私无畏 wusiwuwei
救生 jiusheng
毁誉参半 huiyucanban
宽体 kuanti
无声无臭 wushengwuchou
广丰 guangfeng
扑救 pujiu
半斤八两 banjinbaliang
湖口 hukou
无官一身轻 wuguanyishenqing
球根 qiugen
重奏 zhongzou
三百六十行 sanbailiushixing
蚍蜉撼大树 pifuhandashu
徐闻 xuwen
国际公制 guojigongzhi
养儿防老 yangerfanglao
捐血 juanxue
大圣 dasheng
一早 yizao
扁扁 bianbian
姑表 gubiao
易燃 yiran
大圣 daisheng
扁扁 pianbian
八里乡 balixiang
最好 zuihao
取法乎上 qufahushang
太岁头上动土 taisuitoushangdongtu
祁连 qilian
侨团 qiaotuan
迁西 qianxi
大屠杀 datusha
鱼石脂 yushizhi
抚掌大笑 fuzhangdaxiao
硅肺 guifei
勃朗 bolang
国防部 guofangbu
大屠杀 daitusha
洪福齐天 hongfuqitian
固色剂 guseji
低阶 dijie
主考官 zhukaoguan
蜡质 lazhi
可否 kefou
安息 anxi
偏执 pianzhi
吸收光谱 xishouguangpu
降雨 jiangyu
二中全会 erzhongquanhui
手提 shouti
悄无声息 qiaowushengxi
经济核算 jingjihesuan
背对背 beiduibei
楼顶 louding
俯泳 fuyong
无价 wujia
锦鲤 jinli
耐酸 naisuan
代数方程 daishufangcheng
自幼 ziyou
好使 haoshi
悠远 youyuan
洪洞 hongdong
海阔凭鱼跃 haikuopingyuyue
窃窃 qieqie
水至清则无鱼 shuizhiqingzewuyu
假言 jiayan
腥膻 xingshan
原生 yuansheng
扫扫 saosao
吊顶 diaoding
三点水 sandianshui
兰德 lande
两万五千里长征 liangwanwuqianlichangzheng
开初 kaichu
三番五次 sanfanwuci
错失良机 cuoshiliangji
安仁 anren
合体 heti
生物地理学 shengwudilixue
话里有话 hualiyouhua
吸收塔 xishouta
星期四 xingqisi
白鼬 baiyou
清真教 qingzhenjiao
万万 wanwan
信托投资 xintuotouzi
至死 zhisi
乌兰 wulan
混合 hunhe
卖关子 maiguanzi
袅袅 niaoniao
静乐 jingle
压片 yapian
环列 huanlie
一字之差 yizizhicha
机载 jizai
于阗 yutian
系列 xilie
精明 jingming
预言 yuyan
孤雌生殖 gucishengzhi
留一手 liuyishou
有过之无不及 youguozhiwubuji
侵权 qinquan
系列 jilie
胶印 jiaoyin
健康 jiankang
诚然 chengran
亡国灭种 wangguomiezhong
西门子 ximenzi
西秦 xiqin
犹太教 youtaijiao
中西 zhongxi
享享福 xiangxiangfu
东西南北客 dongxinanbeike
停火 tinghuo
拉下脸 laxialian
不料 buliao
寒冷 hanleng
琥珀酸 huposuan
金不换 jinbuhuan
婆说婆有理 poshuopoyouli
词汇表 cihuibiao
大婶 dashen
轻工部 qinggongbu
叶利钦 yeliqin
王权 wangquan
贫困 pinkun
监督 jiandu
剑道 jiandao
汉口 hankou
倡言 changyan
舞蹈病 wudaobing
玄青 xuanqing
同年 tongnian
大婶 daishen
瓦窑 wayao
收钱 shouqian
平房 pingfang
无棣 wudi
龙舟 longzhou
灌装 guanzhuang
高人一筹 gaorenyichou
心余力绌 xinyulichu
平靖 pingjing
淡漠 danmo
轱辘 gulu
败火 baihuo
丰功伟绩 fenggongweiji
翻车 fanche
讥笑 jixiao
竹琴 zhuqin
线状 xianzhuang
震音 zhenyin
辛亥革命 xinhaigeming
节节 jiejie
生物电流 shengwudianliu
排卵 pailuan
一面儿理 yimianerli
非议 feiyi
四则 size
料峭 liaoqiao
串线 chuanxian
汇水 huishui
长蛇阵 changshezhen
便利 bianli
一笑置之 yixiaozhizhi
寻乌 xunwu
起初 qichu
彩虹 caihong
半夜三更 banyesangeng
白口铁 baikoutie
广岛 guangdao
欣闻 xinwen
制药 zhiyao
有钱能使鬼推磨 youqiannengshiguituimo
依旧 yijiu
重压 zhongya
顺产 shunchan
旧的不去新的不来 jiudebuquxindebulai
模压 moya
薄利多销 baoliduoxiao
人才资源 rencaiziyuan
洁净 jiejing
幼龄 youling
集合论 jihelun
抱头痛哭 baotoutongku
凸凹 tuao
垦殖 kenzhi
惺忪 xingsong
模压 muya
薄利多销 boliduoxiao
不安 buan
经互会 jinghuhui
三伏 sanfu
宏伟 hongwei
超龄 chaoling
中华 zhonghua
泛称 fancheng
一呼百应 yihubaiying
一语道破 yiyudaopo
田黄 tianhuang
家兔 jiatu
拼音字母 pinyinzimu
圆锉 yuancuo
分等 fendeng
养身 yangshen
山麓 shanlu
网罗 wangluo
荦荦 luoluo
有头有脸 youtouyoulian
吃苦耐劳 chikunailao
依兰 yilan
租期 zuqi
只要功夫深 zhiyaogongfushen
金属键 jinshujian
铸铜 zhutong
葭莩之亲 jiafuzhiqin
长生 changsheng
单方面 danfangmian
一带 yidai
成一家言 chengyijiayan
不时之需 bushizhixu
猪头 zhutou
单方面 chanfangmian
舌面前音 shemianqianyin
大余 dayu
五谷丰登 wugufengdeng
世界气象组织 shijieqixiangzuzhi
英石 yingshi
显花植物 xianhuazhiwu
开鲁 kailu
桃花源 taohuayuan
大余 daiyu
数以百万计 shuyibaiwanji
稍胜一筹 shaoshengyichou
重峦叠嶂 zhongluandiezhang
绥远 suiyuan
解饱 jiebao
上载 shangzai
泾源 jingyuan
数以百万计 shuoyibaiwanji
强力胶 qianglijiao
仰面 yangmian
长音 changyin
咖啡壶 kafeihu
冬令营 donglingying
解饱 xiebao
强力胶 jianglijiao
鹿死不择音 lusibuzeyin
正副 zhengfu
希世之珍 xishizhizhen
私弊 sibi
三尖瓣 sanjianban
利他行为 litaxingwei
京城 jingcheng
多哈 duoha
驽马 numa
四书 sishu
振动 zhendong
花柱 huazhu
质量第一 zhiliangdiyi
版版六十四 banbanliushisi
苛刻 keke
异步 yibu
磕磕 keke
周遭 zhouzao
诚恳 chengken
加速 jiasu
五十步笑百步 wushibuxiaobaibu
多劳多得 duolaoduode
三茶六礼 sanchaliuli
凡夫 fanfu
尊师 zunshi
草创 caochuang
根据 genju
卵生 luansheng
军转办 junzhuanban
点击率 dianjilv
万变不离其宗 wanbianbuliqizong
股评 guping
陪笑脸 peixiaolian
动情 dongqing
偏振光 pianzhenguang
出乎预料 chuhuyuliao
同船 tongchuan
自由 ziyou
三极管 sanjiguan
犯愁 fanchou
心慌 xinhuang
跨海 kuahai
风化 fenghua
泡泡堂 paopaotang
广大 guangda
哒哒 dada
短缺 duanque
爱护 aihu
公有化 gongyouhua
静谧 jingmi
呵护 hehu
法西斯 faxisi
平西 pingxi
初印 chuyin
县直 xianzhi
升降 shengjiang
一格 yige
天外有天 tianwaiyoutian
羁押 jiya
大桶 datong
转账 zhuanzhang
九死一生 jiusiyisheng
大桶 daitong
电影周 dianyingzhou
难道说 nandaoshuo
峰林 fenglin
贝尔莫潘 beiermopan
老一套 laoyitao
辚辚 linlin
汉王 hanwang
宽待 kuandai
假定 jiading
通工易事 tonggongyishi
一隅之见 yiyuzhijian
升旗 shengqi
伟业 weiye
片状 pianzhuang
一碧万顷 yibiwanqing
弹指之间 danzhizhijian
冉冉 ranran
老舍 laoshe
装卸 zhuangxie
绚丽多姿 xuanliduozi
千金一掷 qianjinyizhi
可笑 kexiao
散打 sanda
蒙在鼓里 mengzaiguli
世界银行 shijieyinxing
四方脸 sifanglian
直属 zhishu
缓冲剂 huanchongji
开辟 kaibi
畏缩不前 weisuobuqian
不慎 bushen
踌躇不前 chouchubuqian
一力承当 yilichengdang
烈日当空 lieridangkong
梁祝 liangzhu
碾米 nianmi
波导管 bodaoguan
不法 bufa
津浦 jinpu
大青 daqing
河口 hekou
主攻 zhugong
传话 chuanhua
环生 huansheng
气海 qihai
自我 ziwo
大青 daiqing
博大 boda
统称 tongcheng
拿架子 najiazi
一身是胆 yishenshidan
成年 chengnian
三个 sange
批零 piling
呆滞 daizhi
集约化 jiyuehua
特护 tehu
欺行霸市 qixingbashi
通畅 tongchang
自行火炮 zixinghuopao
待业 daiye
板障 banzhang
自为阶级 ziweijieji
干冷 ganleng
退订 tuiding
伤亡事故 shangwangshigu
福兮祸所伏 fuxihuosuofu
重在 zhongzai
辘辘 lulu
后秦 houqin
整夜 zhengye
麦当娜 maidangna
合法 hefa
核糖体 hetangti
宝丰 baofeng
喜爱 xiai
僵直 jiangzhi
老远 laoyuan
扩张型 kuozhangxing
纯真 chunzhen
研讨 yantao
耐火 naihuo
他日 tari
狼疮 langchuang
更胜一筹 gengshengyichou
回环 huihuan
套耕 taogeng
体面 timian
东阿 donga
已知 yizhi
后继无人 houjiwuren
二氧化氮 eryanghuadan
造型艺术 zaoxingyishu
浮艳 fuyan
环道 huandao
象素 xiangsu
限定词 xiandingci
森林浴 senlinyu
无耻之尤 wuchizhiyou
腹案 fuan
公汽 gongqi
一户 yihu
半大 banda
边音 bianyin
中山路 zhongshanlu
初恋 chulian
参考资料 cankaoziliao
闻名不如见面 wenmingburujianmian
自选 zixuan
车马盈门 chemayingmen
回形针 huixingzhen
车马盈门 jumayingmen
转录 zhuanlu
藉由 jieyou
上风 shangfeng
礼品店 lipindian
心得安 xindean
杂差 zacha
复合句 fuheju
藉由 jiyou
芦沟桥 lugouqiao
食品工业 shipingongye
加人 jiaren
影印 yingyin
七色板 qiseban
四海皆兄弟 sihaijiexiongdi
清丽 qingli
压延机 yayanji
单击 danji
热稳定性 rewendingxing
我县 woxian
翻炒 fanchao
第三者 disanzhe
英雄无用武之地 yingxiongwuyongwuzhidi
公理 gongli
单击 chanji
淡绿 danlv
一钱不值 yiqianbuzhi
死难 sinan
减压器 jianyaqi
厅局级 tingjuji
主治医师 zhuzhiyishi
备选 beixuan
随记 suiji
民族自决 minzuzijue
六世 liushi
淫亵 yinxie
二极管 erjiguan
舍己救人 shejijiuren
下饭 xiafan
常年 changnian
上呼吸道 shanghuxidao
变法 bianfa
法朗 falang
密切 miqie
交换所 jiaohuansuo
以次 yici
见分晓 jianfenxiao
陆生 lusheng
辽远 liaoyuan
钙片 gaipian
末端 moduan
三岔路 sanchalu
牌九 paijiu
包装 baozhuang
塞上江南 saishangjiangnan
粒状 lizhuang
处男 chunan
塞上江南 seshangjiangnan
调压 diaoya
发情 faqing
一木难支 yimunanzhi
熟地黄 shudihuang
机织 jizhi
刀光血影 daoguangxueying
斗鸡 douji
调压 tiaoya
滥伐 lanfa
繁育 fanyu
竹筒倒豆子 zhutongdaodouzi
反射弧 fanshehu
特赦 teshe
马鞍 maan
群生 qunsheng
成矿 chengkuang
磨牙 moya
亨利 hengli
耕者有其田 gengzheyouqitian
黑雨 heiyu
百思不得其解 baisibudeqijie
初一 chuyi
担心 danxin
标图 biaotu
冷天 lengtian
伏天 futian
一棍子打死 yigunzidasi
墨渍 mozi
训育 xunyu
腼腆 miantian
足彩 zucai
育龄 yuling
一一道来 yiyidaolai
一言难尽 yiyannanjin
红杏出墙 hongxingchuqiang
绝口 juekou
元元之民 yuanyuanzhimin
功亏一篑 gongkuiyikui
一年被蛇咬 yinianbeisheyao
金属门 jinshumen
机械油 jixieyou
好好儿 haohaoer
居舍 jushe
整年累月 zhengnianleiyue
十二属相 shiershuxiang
婉顺 wanshun
救生筏 jiushengfa
苍翠 cangcui
贴饼子 tiebingzi
脑积水 naojishui
意动 yidong
批发部 pifabu
伞齿轮 sanchilun
赛过诸葛亮 saiguozhugeliang
中文 zhongwen
各党 gedang
一番话 yifanhua
小写 xiaoxie
河曲 hequ
三合会 sanhehui
